RUN	KeycloakLoginSimulator	keycloakloginsimulator	1591938312879	 	3.3.1
REQUEST	15		Login for realm admin	1591938318698	1591938318950	OK	 
REQUEST	1		Logout basic user	1591938318603	1591938318951	OK	 
USER	Users	20	START	1591938318979	1591938318979
REQUEST	15		Logout realm admin	1591938318952	1591938319046	OK	 
USER	Users	15	END	1591938317730	1591938319047
REQUEST	18		Login for basic user	1591938318933	1591938319153	OK	 
REQUEST	12		Logout basic user	1591938318632	1591938319154	OK	 
REQUEST	16		Second unauthenticated request	1591938318947	1591938319203	OK	 
REQUEST	6		Second unauthenticated request	1591938318851	1591938319204	OK	 
REQUEST	7		Second unauthenticated request	1591938318851	1591938319204	OK	 
REQUEST	19		First unauthenticated request	1591938318731	1591938319212	OK	 
USER	Users	21	START	1591938319233	1591938319233
REQUEST	3		Second unauthenticated request	1591938318952	1591938319255	OK	 
REQUEST	18		Logout basic user	1591938319154	1591938319335	OK	 
REQUEST	20		First unauthenticated request	1591938318979	1591938319470	OK	 
USER	Users	22	START	1591938319484	1591938319484
REQUEST	19		Login for basic user	1591938319213	1591938319510	OK	 
REQUEST	18		Second unauthenticated request	1591938319337	1591938319587	OK	 
REQUEST	19		Logout basic user	1591938319511	1591938319610	OK	 
REQUEST	19		Second unauthenticated request	1591938319611	1591938319708	OK	 
USER	Users	23	START	1591938319733	1591938319733
REQUEST	21		First unauthenticated request	1591938319234	1591938319737	OK	 
REQUEST	1		Second unauthenticated request	1591938318952	1591938319811	OK	 
REQUEST	16		Login for realm admin	1591938319205	1591938319842	OK	 
USER	Users	24	START	1591938319983	1591938319983
REQUEST	23		First unauthenticated request	1591938319733	1591938320173	OK	 
REQUEST	17		Login for basic user	1591938318700	1591938320197	OK	 
REQUEST	20		Login for basic user	1591938319476	1591938320203	OK	 
USER	Users	25	START	1591938320230	1591938320230
REQUEST	12		Second unauthenticated request	1591938319154	1591938320301	OK	 
REQUEST	19		Login for realm admin	1591938319709	1591938320327	OK	 
REQUEST	22		First unauthenticated request	1591938319485	1591938320386	OK	 
REQUEST	19		Logout realm admin	1591938320328	1591938320418	OK	 
USER	Users	19	END	1591938318731	1591938320419
REQUEST	23		Login for basic user	1591938320178	1591938320454	OK	 
USER	Users	26	START	1591938320481	1591938320481
REQUEST	18		Login for realm admin	1591938319588	1591938320521	OK	 
REQUEST	20		Logout basic user	1591938320204	1591938320531	OK	 
REQUEST	16		Logout realm admin	1591938319843	1591938320532	OK	 
USER	Users	16	END	1591938317979	1591938320533
REQUEST	21		Login for basic user	1591938319739	1591938320611	OK	 
REQUEST	17		Logout basic user	1591938320199	1591938320652	OK	 
REQUEST	23		Logout basic user	1591938320455	1591938320652	OK	 
REQUEST	25		First unauthenticated request	1591938320231	1591938320655	OK	 
USER	Users	27	START	1591938320683	1591938320683
REQUEST	24		First unauthenticated request	1591938319985	1591938320734	OK	 
REQUEST	20		Second unauthenticated request	1591938320531	1591938320753	OK	 
REQUEST	23		Second unauthenticated request	1591938320654	1591938320756	OK	 
REQUEST	7		Login for realm admin	1591938319206	1591938320821	OK	 
USER	Users	28	START	1591938320882	1591938320882
REQUEST	18		Logout realm admin	1591938320522	1591938320964	OK	 
USER	Users	18	END	1591938318481	1591938320965
REQUEST	25		Login for basic user	1591938320658	1591938321032	OK	 
REQUEST	21		Logout basic user	1591938320613	1591938321032	OK	 
REQUEST	17		Second unauthenticated request	1591938320654	1591938321057	OK	 
REQUEST	26		First unauthenticated request	1591938320481	1591938321058	OK	 
USER	Users	29	START	1591938321081	1591938321081
REQUEST	27		First unauthenticated request	1591938320684	1591938321088	OK	 
USER	Users	30	START	1591938321279	1591938321279
REQUEST	28		First unauthenticated request	1591938320883	1591938321293	OK	 
REQUEST	20		Login for realm admin	1591938320756	1591938321322	OK	 
REQUEST	23		Login for realm admin	1591938320760	1591938321443	OK	 
REQUEST	27		Login for basic user	1591938321090	1591938321465	OK	 
USER	Users	31	START	1591938321482	1591938321482
REQUEST	12		Login for realm admin	1591938320302	1591938321541	OK	 
REQUEST	7		Logout realm admin	1591938320822	1591938321556	OK	 
USER	Users	7	END	1591938315741	1591938321557
REQUEST	20		Logout realm admin	1591938321325	1591938321579	OK	 
USER	Users	20	END	1591938318979	1591938321580
REQUEST	29		First unauthenticated request	1591938321082	1591938321584	OK	 
REQUEST	28		Login for basic user	1591938321297	1591938321605	OK	 
REQUEST	28		Logout basic user	1591938321605	1591938321701	OK	 
REQUEST	6		Login for realm admin	1591938319205	1591938321703	OK	 
REQUEST	3		Login for realm admin	1591938319259	1591938321710	OK	 
USER	Users	32	START	1591938321723	1591938321723
REQUEST	21		Second unauthenticated request	1591938321033	1591938321731	OK	 
REQUEST	12		Logout realm admin	1591938321542	1591938321747	OK	 
